date,close,high,low,open,volume,symbol,market_cap
2023-08-13,0.289531,0.293197,0.287777,0.291834,1.3880707e+08,ADA,3.5e+10
2023-08-14,0.290611,0.292074,0.287816,0.289529,1.3604766e+08,ADA,3.5e+10
2023-08-15,0.281817,0.290645,0.278045,0.290616,1.8893146e+08,ADA,3.5e+10
2023-08-16,0.274532,0.282607,0.26765,0.281817,2.4663994e+08,ADA,3.5e+10
2023-08-17,0.255958,0.277856,0.245795,0.274525,3.5247974e+08,ADA,3.5e+10
2023-08-18,0.263892,0.266778,0.255605,0.255983,2.6889286e+08,ADA,3.5e+10
2023-08-19,0.268378,0.269439,0.26102,0.263899,1.449891e+08,ADA,3.5e+10
2023-08-20,0.270709,0.272545,0.265382,0.268386,1.4791664e+08,ADA,3.5e+10
2023-08-21,0.263179,0.271884,0.261647,0.270704,1.8261592e+08,ADA,3.5e+10
2023-08-22,0.258366,0.26328,0.252303,0.263146,2.124442e+08,ADA,3.5e+10
2023-08-23,0.267965,0.269284,0.258249,0.258371,1.930683e+08,ADA,3.5e+10
2023-08-24,0.265884,0.271021,0.262559,0.267973,1.6617731e+08,ADA,3.5e+10
2023-08-25,0.26108,0.270064,0.259707,0.265884,2.2674538e+08,ADA,3.5e+10
2023-08-26,0.260953,0.261614,0.258455,0.261075,1.3166989e+08,ADA,3.5e+10
2023-08-27,0.263446,0.264941,0.260313,0.260955,1.4492672e+08,ADA,3.5e+10
2023-08-28,0.267434,0.267606,0.258775,0.263453,1.6263269e+08,ADA,3.5e+10
2023-08-29,0.272449,0.278574,0.260564,0.267421,3.3827914e+08,ADA,3.5e+10
2023-08-30,0.265654,0.272822,0.261397,0.272464,2.1768733e+08,ADA,3.5e+10
2023-08-31,0.255373,0.266164,0.252524,0.265676,2.0340206e+08,ADA,3.5e+10
2023-09-01,0.255185,0.258559,0.252679,0.255368,1.7449442e+08,ADA,3.5e+10
2023-09-02,0.25623,0.257197,0.254274,0.255188,1.162883e+08,ADA,3.5e+10
2023-09-03,0.255793,0.256613,0.253593,0.256242,9.965543e+07,ADA,3.5e+10
2023-09-04,0.256146,0.259466,0.25401,0.255799,9.678629e+07,ADA,3.5e+10
2023-09-05,0.257614,0.258256,0.254369,0.256146,9.156731e+07,ADA,3.5e+10
2023-09-06,0.257667,0.259266,0.253398,0.257621,1.1674273e+08,ADA,3.5e+10
2023-09-07,0.25772,0.259131,0.253412,0.25767,1.1274536e+08,ADA,3.5e+10
2023-09-08,0.25437,0.259108,0.253027,0.25774,1.0045712e+08,ADA,3.5e+10
2023-09-09,0.253492,0.255632,0.253371,0.254378,5.825736e+07,ADA,3.5e+10
2023-09-10,0.249052,0.253495,0.245461,0.253495,1.3089994e+08,ADA,3.5e+10
